,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,cluster_9,cluster_14,hot_or_not
2sGF7DBXvL2GjkbG606m1G,0.723,0.726,1,-3.835,0,0.0472,0.0564,0.000126,0.057,0.962,100.051,176283,3,2,2,N
45Egmo7icyopuzJN0oMEdk,0.708,0.648,6,-5.626,1,0.0449,0.0956,0.0,0.134,0.338,143.955,201707,0,1,9,N
4IkdPZGKMz1njJlCcjDLKe,0.399,0.829,4,-5.4,1,0.114,0.271,0.0,0.607,0.705,128.721,201560,2,6,13,N
1KsKIKaXKx3BuKlJgUwT7Q,0.8,0.538,2,-4.775,1,0.0617,0.642,1.23e-06,0.107,0.581,92.451,192346,5,4,0,N
5cF0dROlMOK5uNZtivgu50,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,208787,3,2,2,N
0AvbkI9N5zpu81ZaYf6L7s,0.717,0.522,1,-11.153,1,0.0623,0.188,0.0,0.107,0.479,92.053,201144,5,4,7,N
3miMeSGd7rzJEtuhQnzm0f,0.691,0.631,0,-4.804,1,0.0374,0.00674,0.0,0.186,0.435,139.954,169430,5,4,7,N
5UTRSgUD07Xir1IsNoYbPQ,0.77,0.699,10,-5.606,0,0.25,0.482,3.14e-06,0.0991,0.572,145.988,201951,4,8,10,N
31VOknKjFrEX47bZXzqcoF,0.301,0.672,2,-4.497,1,0.0623,0.28,3.1e-05,0.0609,0.384,169.497,230289,0,5,5,N
6huNf4dutXRjJyGn7f5BPS,0.732,0.678,2,-4.977,1,0.0886,0.0867,2.41e-05,0.112,0.196,100.626,211421,5,4,7,N
7eJMfftS33KTjuF7lTsMCx,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,173333,2,6,13,N
4zHbzMPCg3tovIILIa7dsB,0.755,0.751,8,-4.034,1,0.0748,0.0635,0.0,0.0812,0.491,102.002,183587,0,1,9,N
7F7qwp7VZRVwZsNoddRRgX,0.541,0.769,4,-6.253,1,0.0339,0.0556,1.54e-05,0.17,0.382,129.971,215747,0,5,7,N
2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,8,10,N
7BuSE9uTIw931wtZYzvZcQ,0.756,0.851,2,-3.33,1,0.0674,0.0336,0.0,0.126,0.934,75.014,200693,5,4,1,N
5W83ErFkO3aKAIS1WMi6u0,0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,258800,0,1,9,N
54hA0ldJYyT1huGfSeOjdQ,0.771,0.729,7,-6.577,1,0.0408,0.00161,0.672,0.217,0.63,123.027,189268,6,7,11,N
01k24g94i1JvkFLQmVEdCd,0.647,0.853,8,-4.516,1,0.0904,0.0615,0.0,0.062,0.618,103.846,189000,0,1,9,N
4KL3FJYexPrPuMdPagHPXp,0.676,0.774,8,-3.988,1,0.0338,0.137,0.0,0.106,0.392,86.994,235413,0,1,9,N
7xAVLrbnud6OrU6f4FmxDr,0.455,0.543,5,-7.164,1,0.0483,0.436,0.0,0.0648,0.253,140.118,262286,1,5,4,N
67ojvEGRPAUCOohuMPqoRC,0.48,0.749,1,-5.057,0,0.432,0.533,0.0,0.0997,0.419,179.056,194534,4,8,10,N
48UX3JH23V6syy4kAkGfhn,0.704,0.645,0,-6.251,1,0.241,0.216,0.0,0.337,0.732,166.079,213600,5,4,5,N
7t3fuKd5h73oppjIgkxZ25,0.821,0.773,11,-3.631,0,0.0487,0.0184,0.0,0.074,0.962,128.827,150827,3,2,3,N
2dy3TKVDEbIeWxeIb8JWqZ,0.735,0.712,11,-5.119,0,0.0326,0.732,0.0,0.302,0.894,131.938,229333,3,2,3,N
2Nn40S6ZDlqSDbIJBcXZ1f,0.756,0.706,1,-4.384,0,0.0393,0.424,0.0,0.0635,0.799,122.925,200600,3,2,2,N
6MYyeb4z85EVKDOyY6Od5X,0.795,0.493,11,-7.045,1,0.304,0.184,0.0,0.166,0.329,90.712,270973,4,8,10,N
0AcHbiMs86CCgprvc7E1gs,0.776,0.732,8,-3.719,1,0.081,0.175,0.0,0.364,0.383,144.076,153351,0,1,9,N
3Wrjm47oTz2sjIgck11l5e,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,211560,3,2,3,N
7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,231267,0,1,9,N
4TlbZgqxhJ6uN3tpVyjw90,0.655,0.764,11,-3.381,0,0.193,0.0147,8.88e-05,0.0511,0.707,159.017,162960,3,2,3,N
13Tbv4nflNxg9kYBIbJnd9,0.784,0.587,4,-3.572,0,0.0767,0.375,0.00109,0.111,0.261,90.032,209540,3,2,12,N
1X4Ms1Iti1yLYZQKlK4Ug6,0.516,0.794,0,-4.584,0,0.0332,0.00209,0.0,0.0687,0.532,132.044,248120,3,5,2,N
5RhWszHMSKzb7KiXk4Ae0M,0.592,0.54,8,-11.249,0,0.0587,0.692,0.00187,0.0965,0.354,111.955,252027,1,0,0,N
4j5ffIFh7bFT7GZciP1TCy,0.654,0.63,10,-4.644,1,0.0259,0.149,0.0,0.111,0.43,89.991,167693,0,1,9,N
7LE1K0lZyRFZjSlrnm7lfD,0.841,0.674,2,-5.35,1,0.0962,0.104,0.0,0.131,0.761,90.007,382555,5,4,8,N
5lwVd35Zg6DJ4qibVMq99H,0.747,0.825,6,-2.903,1,0.0566,0.0487,0.0,0.107,0.866,94.006,219773,5,1,1,N
0t3ZvGKlmYmVsDzBJAXK8C,0.548,0.653,5,-3.875,1,0.081,0.456,0.0,0.103,0.163,150.068,174853,0,5,7,N
6zJb8jNZ31zLw6wAbEPt8b,0.624,0.861,1,-5.991,1,0.144,0.29,0.0,0.113,0.75,100.226,172506,5,4,1,N
0SGkqnVQo9KPytSri1H6cF,0.78,0.575,1,-5.628,0,0.139,0.106,0.0,0.129,0.273,81.502,222360,3,2,12,N
7e5s6nhpC4oOfDqgdI2SQX,0.794,0.708,5,1.257,0,0.0425,0.832,0.0,0.101,0.804,130.062,129306,3,2,2,N
3H9GDhVVTlmFQSmpt51qiP,0.86,0.697,1,-4.727,1,0.0718,0.102,0.0,0.159,0.586,129.978,268794,5,4,1,N
7anSoGdgtmJTAPZBzcPhO6,0.681,0.648,1,-5.021,0,0.38,0.523,0.0,0.104,0.688,172.02,286507,4,8,10,N
5ddFjrPG8NgQQ6xlOQIVd2,0.823,0.723,4,-4.778,0,0.229,0.311,0.00315,0.0998,0.505,83.97,198493,4,2,2,N
5379uuUPHodsdVhy8pIAAr,0.643,0.769,8,-3.533,1,0.0877,0.0858,0.0,0.205,0.532,185.669,209027,0,1,5,N
0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,241107,0,5,5,N
0grxFyenxR3OYMdIhxRzJ6,0.828,0.698,7,-6.078,1,0.0854,0.325,0.0,0.0615,0.875,92.611,149040,5,1,1,N
3nc420PXjTdBV5TN0gCFkS,0.506,0.693,0,-7.265,0,0.0412,0.584,9.58e-05,0.0891,0.221,139.912,216420,1,5,12,N
4xqU0uR2FkuZPxicdOADZC,0.623,0.729,6,-6.006,0,0.0433,0.00095,0.000676,0.0873,0.541,94.987,227584,3,2,12,N
2G74yhtIMW8tJY5I83dS4Z,0.77,0.373,1,-6.931,1,0.0328,0.317,0.0,0.217,0.293,131.975,242027,1,4,7,N
2dFHtzDuMBJPVd5zAJVb6M,0.68,0.3,10,-8.428,1,0.0341,0.77,0.0,0.263,0.344,114.651,181152,1,0,0,N
1qlgw9MTX3xLaM8YH2OyAv,0.744,0.906,10,-7.027,1,0.0327,0.437,2.29e-06,0.0847,0.902,120.019,176000,0,1,1,N
44ADyYoY5liaRa3EOAl4uf,0.53,0.538,5,-6.672,1,0.0335,0.17,2.83e-06,0.248,0.288,148.051,233654,0,5,7,N
7yLqa0LloZ3RdiOyC1iMyx,0.803,0.743,1,-3.602,0,0.0681,0.105,2.12e-06,0.099,0.674,108.005,203180,3,2,2,N
6EZ6TJegdJy1ghJBCfuopG,0.672,0.801,3,-6.093,0,0.0935,0.0185,0.0,0.0808,0.8,121.934,151040,3,2,2,N
2eNWfN0pJIC5azoGAiuiGo,0.911,0.722,10,-4.833,0,0.279,0.0364,0.0,0.111,0.689,104.11,297546,4,8,3,N
5t9KtCfnu8wQui1G6IqqBR,0.758,0.452,7,-9.21,1,0.11,0.0322,8.29e-05,0.583,0.346,77.168,198973,2,6,13,N
5Y9fnynLlIvqtM710MHzfz,0.855,0.664,9,-7.11,0,0.0607,0.165,3.97e-05,0.0937,0.626,98.015,226800,3,2,3,N
6V7g6qM8wheMivMWrzbPTM,0.792,0.743,7,-2.806,1,0.0851,0.107,0.0,0.183,0.742,150.024,195637,0,1,1,N
3GJ4hzg4lrGwU51Y3VARbF,0.616,0.438,1,-5.968,1,0.0298,0.356,0.0,0.24,0.386,135.929,213387,1,4,7,N
4SYMyyF73B31qz5RIF1vKl,0.806,0.779,8,-7.41,1,0.0397,0.000278,0.794,0.0961,0.318,119.996,425107,6,7,11,N
41RtcX3L4Ee6AzgZEBkMFC,0.891,0.7,1,-1.123,1,0.0627,0.17,6.96e-05,0.0602,0.793,129.998,166060,5,4,1,N
4b2V2ZuTYELubat4l5qZaE,0.883,0.418,7,-8.095,0,0.0735,0.337,4.67e-05,0.164,0.526,129.965,214310,3,2,12,N
0hhzJEusz6r7f0eL1Uc8kw,0.698,0.643,2,-16.985,1,0.0649,0.803,0.0799,0.704,0.714,128.22,254000,2,6,13,N
7a53HqqArd4b9NF4XAmlbI,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,162399,3,2,2,N
2Bzqjmj4ojuulDOSL0U8eg,0.568,0.578,0,-7.933,1,0.339,0.362,0.0,0.172,0.343,80.662,176905,4,8,10,N
3yXxv3io1MWEL7G7sWnnQ8,0.558,0.758,6,-7.248,0,0.305,0.141,0.0,0.619,0.62,93.988,176187,2,6,13,N
2P38H0wA557qiDpZ09M2dn,0.49,0.832,3,-5.559,1,0.0352,0.00154,0.000453,0.336,0.407,142.001,243240,0,5,7,N
4zVevFBE0Ub4WaUS91f9g1,0.63,0.393,2,-8.692,1,0.0343,0.663,0.0,0.182,0.367,126.005,255347,1,0,4,N
5byWPNSh2hi0ULmDxBgLyV,0.774,0.412,1,-8.619,1,0.378,0.026,0.0,0.088,0.38,139.943,116760,4,8,10,N
5wvMkK68cufsTUh2RTpyPj,0.794,0.806,2,-5.151,1,0.0731,0.226,0.0,0.257,0.713,100.03,227653,5,4,1,N
2gug6MRv4xQFYi9LA3PJCS,0.439,0.477,10,-5.638,1,0.0307,0.643,0.0,0.114,0.535,159.819,287307,1,0,4,N
3yI9jZu5AE7y7kUCqfBhCA,0.757,0.731,2,-6.269,1,0.194,0.326,0.0,0.186,0.386,111.989,201829,5,4,7,N
6gBFPUFcJLzWGx4lenP6h2,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,243837,0,1,9,N
1ojRut8t5RYNmLpJkEdJ3V,0.758,0.669,1,-3.838,1,0.0388,0.00659,0.0,0.0657,0.96,132.51,171901,5,4,1,N
2GYHyAoLWpkxLVa4oYTVko,0.791,0.59,1,-9.206,0,0.0793,0.0994,0.00203,0.065,0.714,119.951,206067,3,2,2,N
3B54sVLJ402zGa6Xm4YGNe,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,233902,5,1,1,N
0Odu228D0yGcFySGuxU4rY,0.464,0.547,7,-8.137,0,0.339,0.0511,0.0,0.155,0.423,67.003,221492,4,8,10,N
0YGRqKKDhomTOp246LT11G,0.785,0.343,9,-10.923,0,0.0862,0.593,0.0,0.103,0.468,118.065,121949,1,0,0,N
1djt5vu3t1tQsaLyuS3DgA,0.382,0.0288,4,-29.138,1,0.0425,0.995,0.935,0.0957,0.286,115.364,189250,7,3,6,N
5wcXHy9sGgjOaRwX2Cd0QX,0.567,0.488,1,-9.454,0,0.0388,0.703,0.0172,0.11,0.198,157.887,161013,1,0,4,N
2T43UrvAg60ubJVo5KQ3t7,0.793,0.481,2,-14.246,1,0.0278,0.231,0.00122,0.06,0.97,107.744,208307,5,4,1,N
5QSYWruQQ7kBCHScI4xJ9g,0.616,0.454,4,-8.504,1,0.0273,0.767,3.48e-05,0.105,0.249,99.998,225839,1,0,4,N
3WlGpROYndcPAOYDbN3sLV,0.852,0.694,10,-9.143,0,0.238,0.213,1e-06,0.213,0.325,109.948,90070,4,8,10,N
6fSujm54jeDJopx8dVv517,0.719,0.809,10,-5.124,0,0.349,0.229,0.0,0.106,0.52,82.513,215273,4,8,10,N
1esZgaqm0YKN87CIP3orJ3,0.797,0.649,3,-5.506,0,0.182,0.24,0.0012,0.153,0.437,117.971,200212,3,2,2,N
0xZbTUeLOIXjAHFuyZNQr2,0.599,0.822,5,-5.777,0,0.0287,0.00445,0.00151,0.252,0.333,105.984,245196,3,5,12,N
3b89BehicGUgc60pLBo092,0.682,0.52,5,-9.623,0,0.0589,0.697,5.44e-06,0.265,0.468,112.965,196920,1,0,0,N
6q8Lb50EtqNeeJXXe8mMAH,0.728,0.801,8,-2.942,0,0.0683,0.279,4.71e-06,0.143,0.416,130.059,226627,3,2,3,N
5pAbCxt9e3f81lOmjIXwzd,0.757,0.737,4,-6.728,0,0.114,0.311,0.0,0.113,0.635,98.057,207031,3,2,2,N
0tJCo71s7HT9Mu5Z4juuLw,0.679,0.831,2,-1.866,1,0.109,0.159,1.1e-06,0.097,0.88,88.793,219520,5,4,1,N
1tpbAGsGpZee5jDHMcLrUJ,0.584,0.698,8,-3.961,1,0.106,0.09,6.87e-05,0.171,0.765,166.047,204787,0,1,5,N
3GJjiToqnCxTm5rOaqoxdi,0.792,0.775,2,-4.575,0,0.0532,0.271,1.55e-05,0.406,0.521,111.957,195678,2,2,2,N
4Mq3oVy3iH4bMXcMRSRYf2,0.659,0.865,6,-5.866,1,0.0257,0.136,0.0,0.747,0.709,106.085,251787,2,6,13,N
66yKv1kZIqfejvrLEGqTML,0.322,0.733,8,-4.905,1,0.045,0.223,0.0,0.11,0.585,92.133,191433,0,1,9,N
0qy5D3OJre7SPJNMOL9I71,0.886,0.525,8,-7.39,1,0.132,0.236,0.0,0.057,0.708,145.99,225205,0,1,1,N
7DnAm9FOTWE3cUvso43HhI,0.72,0.706,1,-4.719,1,0.0473,0.0684,0.0,0.166,0.62,133.002,187436,5,4,1,N
4azt50glaSH27l77Nhh5TV,0.706,0.567,11,-6.345,0,0.0436,0.54,3.93e-06,0.293,0.363,112.907,272297,3,2,12,N
6cy3ki60hLwimwIje7tALf,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714,3,2,3,N
6fxVffaTuwjgEk5h9QyRjy,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,1,0,4,N
4uZDqd7PcWI019bHEDbhhR,0.581,0.865,0,-4.36,0,0.0353,0.027,0.000113,0.106,0.254,127.978,191270,3,5,12,N
0qvzXomUDJVaUboy2wMfiS,0.677,0.401,9,-8.467,1,0.0308,0.712,0.0,0.116,0.195,111.825,232852,1,0,4,N
3rtxFFGZ10e2vYBo7PsPf2,0.464,0.444,4,-8.583,0,0.027,0.488,2.32e-05,0.166,0.294,144.092,222827,1,5,4,N
0vnrhysrKKRdNYFKLAGzRc,0.834,0.753,8,-3.011,1,0.0486,0.342,0.0,0.108,0.462,113.058,246383,0,1,9,N
0UV5zxRMz6AO4ZwUOZNIKI,0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,234800,0,4,5,N
06DPpk0hUJEgpzl5cuWNI6,0.598,0.669,4,-5.506,1,0.0419,0.244,0.0,0.178,0.788,82.997,227000,5,4,1,N
2a1o6ZejUi8U3wzzOtCOYw,0.4,0.915,0,-4.89,1,0.28,0.0846,0.0,0.0503,0.878,88.917,198773,5,4,1,N
00L5zl0hO6lO069lzRWNkW,0.534,0.84,7,-4.535,0,0.463,0.019,8.97e-06,0.197,0.278,159.97,179250,4,8,10,N
2WYs5LxOZfEyURXu7V0O1a,0.684,0.844,9,-7.649,1,0.335,0.302,0.0,0.374,0.335,126.677,141505,4,8,10,N
1tzTlRMcw9xDqrNRzj3H2g,0.745,0.861,9,-6.807,0,0.0356,0.00718,0.111,0.387,0.749,137.031,215474,3,2,3,N
41wtwzCZkXwpnakmwJ239F,0.9,0.603,2,-5.313,1,0.0646,0.402,4.81e-06,0.134,0.824,129.928,170972,5,4,1,N
6PrpsVMqiMzubDlyWiqLCk,0.67,0.636,10,-6.032,0,0.0294,0.197,0.0,0.144,0.724,112.032,184468,3,2,3,N
7oHsIIDKbEJlFULg1HF0pP,0.762,0.61,7,-6.378,1,0.228,0.076,0.000132,0.0744,0.277,146.989,278280,0,8,9,N
3ZGXrNmFU69eaBjIPugVl6,0.566,0.427,2,-12.093,1,0.154,0.617,0.0,0.116,0.141,104.946,233471,1,0,4,N
6ifUES3keWjwXgae8pXI3o,0.744,0.804,1,-6.327,1,0.0677,0.0231,0.0,0.0494,0.426,104.823,205715,5,4,7,N
7niGOvoy4RI0QqEGVfF6qt,0.249,0.578,9,-8.722,0,0.0404,0.0434,4.67e-05,0.201,0.49,156.948,303540,0,5,8,N
4vLBnQtece15fFhqWxZvJP,0.546,0.453,7,-13.04,1,0.121,0.382,3.9e-05,0.106,0.74,104.532,239667,1,0,0,N
5hc71nKsUgtwQ3z52KEKQk,0.61,0.788,0,-5.724,1,0.0585,0.195,0.0142,0.153,0.472,101.045,347520,5,4,8,N
4vYWvBnqNoJGDMk3f14rlv,0.807,0.828,1,-2.607,1,0.0404,0.133,0.0,0.118,0.86,99.962,190500,5,4,1,N
1WbXIpiGBJkCiv3hn40iPB,0.759,0.639,4,-8.085,0,0.0511,0.207,0.0,0.23,0.682,128.01,198332,3,2,2,N
6H2GjPvnzQp3SeSD3ATQQk,0.755,0.826,9,-4.859,0,0.0395,0.32,0.0,0.117,0.86,142.991,189650,3,2,3,N
1ix1dhMZI8cYXiyzHgun42,0.79,0.561,10,-10.228,0,0.0437,0.0698,0.00235,0.0589,0.187,112.006,445714,3,5,8,N
3Jsht2hQ08RWncvgXaFpcp,0.2,0.0277,0,-31.777,1,0.0424,0.909,0.839,0.106,0.0747,73.327,193162,7,3,6,N
47ZS1OjnJpJVfGN9yHXfMn,0.512,0.451,5,-7.222,0,0.131,0.161,0.0,0.0672,0.368,80.04,367680,1,5,8,N
3BAad0crO0U2jwG0WUtI9V,0.859,0.585,1,-4.739,1,0.264,0.182,0.0,0.0893,0.867,102.086,186893,5,4,1,N
0lCKgZPwabSeEVfER0OWrR,0.89,0.495,9,-11.022,0,0.0849,0.249,0.0096,0.109,0.0714,120.041,146021,3,2,12,N
737gzPI5VAmgUGWiJ9yXuu,0.792,0.895,1,-3.112,0,0.0587,0.165,0.0,0.0501,0.793,94.968,201526,3,2,2,N
0ciLo7Ntd7Gfc0rQRTgkSG,0.578,0.459,8,-11.938,1,0.041,0.501,1.86e-05,0.143,0.164,160.065,201195,1,0,4,N
5DQxmxUHC1WElkqVLcoA6H,0.822,0.854,8,-3.953,0,0.0628,0.0325,3.38e-05,0.0595,0.75,94.989,130447,3,2,3,N
3VyJGPYr2DF9gdBNosSao4,0.519,0.337,2,-15.215,1,0.0333,0.887,0.0113,0.13,0.523,87.926,196133,1,0,4,N
0Xek5rqai2jcOWCYWJfVCF,0.542,0.674,6,-4.169,1,0.21,0.0588,0.0,0.0955,0.667,76.388,196760,5,1,9,N
6MJUCumnQsQEKbCy28tbCP,0.788,0.771,4,-3.206,0,0.0563,0.291,5.62e-05,0.172,0.701,99.038,207853,3,2,2,N
4L1VVY7WigQFgqs2VgbZjH,0.722,0.782,9,-5.033,1,0.416,0.179,0.0,0.438,0.914,100.13,167267,4,8,10,N
2N8m6CYs74qQO4mjVcXO30,0.824,0.587,6,-6.401,0,0.0937,0.69,0.000105,0.149,0.514,98.029,209438,3,2,0,N
2Yd6hF9rBSibtF4hlcnBEw,0.803,0.456,11,-10.783,1,0.243,0.0358,0.0,0.212,0.583,95.013,161684,4,8,10,N
63y6xWR4gXz7bnUGOk8iI6,0.623,0.734,9,-5.948,1,0.107,0.0162,1.75e-06,0.145,0.37,107.853,244453,0,1,9,N
5r3EMFkXgJ4YKEptvLp9Fc,0.549,0.484,1,-7.697,1,0.0293,0.685,0.0,0.134,0.424,128.051,201075,1,0,4,N
1DFD5Fotzgn6yYXkYsKiGs,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913,3,2,3,N
0pqnGHJpmpxLKifKRmU6WP,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,204347,3,2,3,N
1OPVFxzEgHEdfvCTiB7nh2,0.685,0.725,7,-4.343,1,0.0862,0.448,0.0,0.194,0.575,137.946,331413,0,1,8,N
5fKBwqSTuCbnJlCOpeRa3o,0.797,0.567,2,-7.503,1,0.0651,0.0692,0.0,0.0705,0.843,108.024,188889,5,4,1,N
0csz09qS2n8Jo7LogHKu7j,0.675,0.92,0,-7.153,0,0.0539,0.0126,0.117,0.329,0.842,132.001,329280,3,2,8,N
7MAzRpjDMz2lXud79eIBpD,0.275,0.376,2,-5.798,1,0.029,0.35,6.16e-06,0.114,0.325,137.545,267173,1,5,4,N
3xz5n1xyi3DOMIb8vodsZm,0.536,0.858,6,-4.616,1,0.0634,0.0999,0.000181,0.908,0.274,129.929,384100,2,6,13,N
2Tx1rtzg6UBz9htKnBNmKL,0.584,0.29,9,-16.362,0,0.043,0.965,0.921,0.124,0.156,95.441,193053,7,3,6,N
5EfvD1jdbDYQ6OEuQGkweb,0.569,0.917,10,-4.538,1,0.0575,0.00458,0.0,0.221,0.582,133.965,194696,0,1,9,N
0GYdA0QT7dSxBsJK9LvqLi,0.429,0.0474,9,-21.052,1,0.0647,0.978,0.957,0.107,0.104,91.451,156042,7,3,6,N
655JkvIwu2rDCaD1hPf04g,0.715,0.611,4,-5.094,0,0.0519,0.176,0.0,0.0949,0.776,79.971,195333,3,2,2,N
3obnp1i01eTrrU816HOfxx,0.739,0.694,0,-5.217,0,0.0406,0.15,4.38e-05,0.125,0.446,94.99,158120,3,2,2,N
1GBLO0NFODuL31A5fgw0uR,0.864,0.869,7,-2.963,1,0.139,0.146,0.0,0.063,0.853,99.988,219933,5,1,1,N
7x4ASXYEKfQBCewcZhK776,0.718,0.712,11,-4.366,1,0.174,0.512,0.00121,0.104,0.531,180.034,189653,0,1,5,N
5eqK0tbzUPo2SoeZsov04s,0.884,0.347,8,-8.227,0,0.35,0.015,7e-06,0.0871,0.376,75.016,220307,4,8,10,N
4IfVCNmCW293ps6zJUib9z,0.682,0.308,7,-14.923,1,0.123,0.0942,0.00102,0.178,0.33,76.477,268706,1,0,4,N
4dBQWyoZmmgvFBlALGlqZi,0.405,0.752,7,-5.452,1,0.0394,0.138,0.0,0.173,0.433,130.228,223684,0,5,9,N
1W1i1xCc00UlW6hkOdHlP9,0.749,0.76,5,-7.596,0,0.283,0.342,0.00073,0.444,0.764,171.932,229240,2,6,10,N
47otoIkhx3fkdivEXL5OB6,0.67,0.275,0,-12.755,1,0.0385,0.671,0.0,0.199,0.806,152.649,130027,1,0,0,N
4jL6WWKFDqCOPo2hC3VhSS,0.59,0.833,5,-6.503,0,0.0615,0.0142,5.4e-06,0.105,0.538,94.963,240439,3,2,12,N
0ZP4bO2ywAv44HiEzzHaq5,0.716,0.549,0,-5.086,0,0.0304,0.507,1.56e-06,0.164,0.556,100.01,218400,3,2,2,N
3n2P3ipLt5mPFVaM0fJHNR,0.917,0.612,5,-2.183,0,0.0854,0.238,2.28e-05,0.0585,0.679,89.961,193320,3,2,3,N
5PYQUBXc7NYeI1obMKSJK0,0.77,0.882,8,-4.792,1,0.0602,0.194,0.0,0.316,0.385,99.991,223523,0,1,9,N
1ehPJRt49h6N0LoryqKZXq,0.31,0.54,9,-9.629,1,0.346,0.163,0.000129,0.0713,0.148,180.994,175507,4,8,10,N
1wl5vs3SCMPpHTIR8IW8nJ,0.629,0.598,0,-6.654,1,0.0304,0.454,2.82e-05,0.204,0.442,103.979,241125,5,4,7,N
4OENnoidV0h8gJV6bhrw7r,0.68,0.826,5,-2.561,1,0.27,0.562,0.0,0.254,0.804,146.95,248937,0,1,5,N
5p5CfayA88AVKc76DcwK5e,0.396,0.169,9,-19.164,0,0.0382,0.952,0.94,0.137,0.126,177.236,203480,7,3,6,N
1lOe9qE0vR9zwWQAOk6CoO,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,131240,4,8,10,N
3doVAxeH3SgWtlRMqR4eLi,0.748,0.658,7,-4.656,0,0.0526,0.196,0.00642,0.109,0.448,143.954,199627,3,2,12,N
29csiYMOfBmLmGwxmISrMy,0.591,0.672,5,-3.515,1,0.0375,0.622,0.0,0.112,0.267,139.939,265307,0,5,7,N
38lQ7lYhN3eSWepnZHaiBF,0.813,0.59,4,-6.542,0,0.345,0.346,0.0,0.0335,0.716,91.985,235955,4,8,10,N
78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,2,6,13,N
0P6AWOA4LG1XOctzaVu5tt,0.775,0.573,11,-4.933,1,0.0585,0.495,0.0,0.126,0.667,101.925,171806,0,1,9,N
7dx0Funwrd0LRvquDFQ8fv,0.722,0.84,0,-3.633,1,0.0418,0.0564,0.0,0.618,0.841,92.005,197087,2,6,13,N
2iVVmYXEX92pAJdwT53hX6,0.849,0.632,4,-7.206,0,0.323,0.644,0.0,0.0947,0.639,101.56,143500,4,8,10,N
4l3xGFwoTinvYxsePytOOf,0.646,0.865,6,-4.215,1,0.0983,0.269,4.16e-06,0.11,0.762,191.954,217093,0,1,5,N
2rZIyoaIZBaWtr1954sxyO,0.672,0.661,3,-8.836,1,0.03,0.563,0.000152,0.222,0.97,141.883,195147,5,4,1,N
5nujrmhLynf4yMoMtj8AQF,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,3,2,3,N
6gpcs5eMhJwax4mIfKDYQk,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,230813,3,2,2,N
5zMR44ZH4KVZj4FlhTj3SE,0.404,0.556,4,-8.329,1,0.0326,0.359,4.93e-06,0.0964,0.34,159.256,326813,1,5,8,N
3wrBFPDRyIGyGXxGSc970M,0.863,0.527,10,-6.261,1,0.216,0.377,3.7e-06,0.0946,0.599,90.99,262200,4,1,9,N
52okn5MNA47tk87PeZJLEL,0.662,0.714,5,-5.68,0,0.121,0.312,0.0,0.179,0.464,147.997,212120,3,2,12,N
3wGRfBDRNQb0nFDFrUPvq6,0.692,0.49,11,-6.077,1,0.0464,0.47,0.0,0.109,0.255,155.834,225213,0,1,9,N
6a2dQM7ocTJoTVCXekPOHG,0.852,0.795,7,-4.142,1,0.0862,0.154,0.0,0.192,0.931,97.029,186299,5,1,1,N
7A6d1s5kEY08IXBWwbqWJ1,0.56,0.869,0,-2.391,1,0.237,0.114,2.88e-06,0.143,0.866,190.036,202199,5,4,5,N
2XXMDz7SPZ4mSFN1PXfHUy,0.772,0.732,9,-3.713,0,0.213,0.307,5.14e-06,0.106,0.295,100.048,254383,3,2,12,N
7q3NthaBqFI6s0WnAlnIvq,0.819,0.596,2,-7.009,1,0.318,0.225,1.19e-06,0.138,0.622,165.951,225542,4,8,10,N
